Round,Timestamp,Player,Board Size,Cells,Prediction,Correct,Is Correct,Difference,BFS Time (ms),Dijkstra Time (ms),Dice Rolls
1,2025-12-12T00:59:11.501377,hunn,8,64,4,5,No,1,0.4461,0.6731,22
2,2025-12-12T00:59:27.528453,hunn,8,64,4,5,No,1,0.2589,0.4122,18
3,2025-12-12T00:59:55.158136,hunn,8,64,6,6,Yes,0,0.2432,0.3352,59
4,2025-12-12T01:00:40.179291,hunn,8,64,6,6,Yes,0,0.3364,0.4764,62
5,2025-12-12T01:01:04.997538,hunn,6,36,4,4,Yes,0,0.1643,0.2198,24
6,2025-12-12T01:03:13.126494,hunn,8,64,6,6,Yes,0,0.3533,0.4606,21
7,2025-12-12T01:03:41.433965,hunn,8,64,3,6,No,3,0.3455,0.4864,11
8,2025-12-12T01:07:31.877367,hunn,8,64,6,6,Yes,0,0.423,0.6418,18
9,2025-12-12T01:08:20.019357,hunn,10,100,5,6,No,1,0.4308,0.5364,37
10,2025-12-12T01:09:32.181440,zee,8,64,7,7,Yes,0,0.0827,0.1175,17
11,2025-12-12T01:09:49.630506,hunn,8,64,4,5,No,1,0.1087,0.1202,9
12,2025-12-12T01:10:16.543163,piyumi,8,64,5,5,Yes,0,0.1419,0.3531,45
13,2025-12-12T01:10:43.044751,piyumi,8,64,4,7,No,3,0.1404,0.2086,24
14,2025-12-12T01:10:58.597873,hunn,6,36,3,3,Yes,0,0.1347,0.1254,9
15,2025-12-12T01:11:18.894683,zee,8,64,5,6,No,1,0.1116,0.1948,33
