Round,Timestamp,Player,Board Size,Cells,Prediction,Correct,Is Correct,Difference,BFS Time (ms),Dijkstra Time (ms),Dice Rolls
1,2025-12-12T02:03:58.569474,hunn,8,64,5,5,Yes,0,0.0985,0.1178,39
2,2025-12-12T02:04:36.171045,hunn,6,36,4,4,Yes,0,0.0806,0.109,17
3,2025-12-12T02:06:23.067482,zee,6,36,4,4,Yes,0,0.1056,0.1328,8
4,2025-12-12T02:06:42.685056,zee,8,64,8,6,No,2,0.1478,0.1948,12
5,2025-12-12T02:10:06.334380,zee,6,36,4,4,Yes,0,0.3409,1.1351,22
6,2025-12-12T02:10:25.886009,zee,7,49,8,5,No,3,0.1915,0.2587,11
7,2025-12-12T02:10:52.683070,piyumi,9,81,9,6,No,3,0.0954,0.1612,53
8,2025-12-12T02:11:23.870216,piyumi,11,121,12,10,No,2,0.2131,0.2675,51
9,2025-12-12T02:11:48.777176,zum,6,36,7,4,No,3,0.1407,0.1836,6
10,2025-12-12T02:12:05.524473,zimra,6,36,6,3,No,3,0.1812,0.2377,11
11,2025-12-12T02:12:40.057226,zim,8,64,9,7,No,2,0.3359,0.4444,75
12,2025-12-12T02:13:03.045596,shim,6,36,8,3,No,5,0.17,1.9059,4
13,2025-12-12T02:13:22.867696,piyu,8,64,10,7,No,3,0.2904,0.4013,21
14,2025-12-12T02:13:41.918841,piyu,8,64,7,5,No,2,0.2124,0.3042,13
15,2025-12-12T02:14:02.942565,piyu,6,36,7,3,No,4,0.1521,0.2425,14
